Product_ID,Product_Name,Category,Subcategory,Brand,Standard_Cost
P051,Savanna Household 3,Grocery,Household,Savanna,10925.82
P052,UrbanPlus Household 4,Grocery,Household,UrbanPlus,8471.56
P053,HomePro Household 5,Grocery,Household,HomePro,3373.97
P054,ValueMax Household 6,Grocery,Household,ValueMax,11637.82
P055,Nova Skincare 1,Beauty,Skincare,Nova,9400.32
P056,Kifaru Skincare 2,Beauty,Skincare,Kifaru,8673.46
P057,Savanna Skincare 3,Beauty,Skincare,Savanna,5530.0
P058,UrbanPlus Skincare 4,Beauty,Skincare,UrbanPlus,3448.84
P059,HomePro Skincare 5,Beauty,Skincare,HomePro,1382.59
P060,ValueMax Skincare 6,Beauty,Skincare,ValueMax,10855.58
P061,Nova Haircare 1,Beauty,Haircare,Nova,5605.37
P062,Kifaru Haircare 2,Beauty,Haircare,Kifaru,2627.77
P063,Savanna Haircare 3,Beauty,Haircare,Savanna,3844.99
P064,UrbanPlus Haircare 4,Beauty,Haircare,urbanplus,7055.83
P065,HomePro Haircare 5,Beauty,Haircare,HomePro,2327.08
P066,ValueMax Haircare 6,Beauty,Haircare,ValueMax,10315.22
P067,Nova Personal Care 1,Beauty,Personal Care,Nova,9162.6
P068,Kifaru Personal Care 2,Beauty,Personal Care,Kifaru,8703.69
P069,Savanna Personal Care 3,Beauty,Personal Care,Savanna,5327.09
P070,UrbanPlus Personal Care 4,Beauty,Personal Care,UrbanPlus,7620.88
P071,HomePro Personal Care 5,Beauty,Personal Care,HomePro,7113.15
P072,ValueMax Personal Care 6,Beauty,Personal Care,ValueMax,7885.7
P073,Nova Menswear 1,Fashion,Menswear,Nova,1242.22
P074,Kifaru Menswear 2,Fashion,Menswear,Kifaru,5135.74
P075,Savanna Menswear 3,Fashion,Menswear,Savanna,738.97
P076,UrbanPlus Menswear 4,Fashion,Menswear,UrbanPlus,6054.39
P077,HomePro Menswear 5,Fashion,Menswear,HomePro,4125.87
P078,ValueMax Menswear 6,Fashion,Menswear,ValueMax,1948.16
P079,Nova Womenswear 1,Fashion,Womenswear,Nova,1464.98
P080,Kifaru Womenswear 2,Fashion,Womenswear,Kifaru,7154.82
P081,Savanna Womenswear 3,Fashion,Womenswear,Savanna,2254.47
P082,UrbanPlus Womenswear 4,Fashion,Womenswear,UrbanPlus,11120.16
P083,HomePro Womenswear 5,Fashion,Womenswear,HomePro,7077.47
P084,ValueMax Womenswear 6,Fashion,Womenswear,ValueMax,4325.72
P085,Nova Kidswear 1,Fashion,Kidswear,Nova,7193.26
P086,Kifaru Kidswear 2,Fashion,Kidswear,Kifaru,517.95
P087,Savanna Kidswear 3,Fashion,Kidswear,Savanna,11513.07
P088,UrbanPlus Kidswear 4,Fashion,Kidswear,UrbanPlus,5917.07
P089,HomePro Kidswear 5,Fashion,Kidswear,HomePro,9447.14
P090,ValueMax Kidswear 6,Fashion,Kidswear,ValueMax,1222.08
